|IMDB_titleID|category|title|release_year|seasons|movie_duration|average_rating|number_rating|director|casting|country|date_added|parental_guideline|listed_in|summary
0|/title/tt9428190/|Movie|Norm of the North: King Sized Adventure|2019||90|3.1|235|Richard Finn, Tim Maltby|Alan Marriott, Andrew Toth, Brian Dobson, Cole Howard, Jennifer Cameron, Jonathan Holmes, Lee Tockar, Lisa Durupt, Maya Kay, Michael Dobson|United States, India, South Korea, China|September 9, 2019|TV-PG|Children & Family Movies, Comedies|Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first.
1|/title/tt6999080/|Movie|Jandino: Whatever it Takes|2016||94|5.3|15||Jandino Asporaat|United Kingdom|September 9, 2016|TV-MA|Stand-Up Comedy|"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show."
2|/title/tt1659175/|TV Show|Transformers Prime|2013|1||7.8|4891||Peter Cullen, Sumalee Montano, Frank Welker, Jeffrey Combs, Kevin Michael Richardson, Tania Gunadi, Josh Keaton, Steve Blum, Andy Pessoa, Ernie Hudson, Daran Norris, Will Friedle|United States|September 8, 2018|TV-Y7-FV|Kids' TV|With the help of three human allies, the Autobots once again protect Earth from the onslaught of the Decepticons and their leader, Megatron.
3|/title/tt3604232/|TV Show|Transformers: Robots in Disguise|2016|1||6.0|764||Will Friedle, Darren Criss, Constance Zimmer, Khary Payton, Mitchell Whitfield, Stuart Allan, Ted McGinley, Peter Cullen|United States|September 8, 2018|TV-Y7|Kids' TV|When a prison ship crash unleashes hundreds of Decepticons on Earth, Bumblebee leads a new Autobot force to protect humankind.
4|/title/tt6119504/|Movie|#realityhigh|2017||99|5.2|4866|Fernando Lebrija|Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis|United States|September 8, 2017|TV-14|Comedies|When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.
5|/title/tt4418844/|TV Show|Apaches|2016|1||6.8|182||Alberto Ammann, Eloy Azorín, Verónica Echegui, Lucía Jiménez, Claudia Traisac|Spain|September 8, 2017|TV-MA|Crime TV Shows, International TV Shows, Spanish-Language TV Shows|A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel Sáez Carral.
6|/title/tt1971325/|Movie|Automata|2014||110|6.1|52169|Gabe Ibáñez|Antonio Banderas, Dylan McDermott, Melanie Griffith, Birgitte Hjort Sørensen, Robert Forster, Christa Campbell, Tim McInnerny, Andy Nyman, David Ryall|Bulgaria, United States, Spain, Canada|September 8, 2017|R|International Movies, Sci-Fi & Fantasy, Thrillers|In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy.
7|/title/tt8134310/|Movie|Fabrizio Copano: Solo pienso en mi|2017||60|5.1|20|Rodrigo Toro, Francisco Schultz|Fabrizio Copano|Chile|September 8, 2017|TV-MA|Stand-Up Comedy|Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more.
8|/title/tt7293754/|TV Show|Fire Chasers|2017|1||6.6|285|||United States|September 8, 2017|TV-MA|Docuseries, Science & Nature TV|As California's 2016 fire season rages, brave backcountry firefighters race to put out the flames, protect homes and save lives in this docuseries.
9|/title/tt1361318/|Movie|Good People|2014||90|5.5|14755|Henrik Ruben Genz|James Franco, Kate Hudson, Tom Wilkinson, Omar Sy, Sam Spruell, Anna Friel, Thomas Arnold, Oliver Dimsdale, Diana Hardcastle, Michael Jibson, Diarmaid Murtagh|United States, United Kingdom, Denmark, Sweden|September 8, 2017|R|Action & Adventure, Thrillers|A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.
10|/title/tt2917388/|Movie|Kidnapping Mr. Heineken|2015||95|6.1|18366|Daniel Alfredson|Jim Sturgess, Sam Worthington, Ryan Kwanten, Anthony Hopkins, Mark van Eeuwen, Thomas Cocquerel, Jemima West, David Dencik|Netherlands, Belgium, United Kingdom, United States|September 8, 2017|R|Action & Adventure, Dramas, International Movies|"When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history."
11|/title/tt2608324/|Movie|Manhattan Romance|2014||98|5.5|1120|Tom O'Brien|Tom O'Brien, Katherine Waterston, Caitlin Fitzgerald, Gaby Hoffmann, Louis Cancelmi, Zach Grenier|United States|September 8, 2017|TV-14|Comedies, Independent Movies, Romantic Movies|A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.
12|/title/tt2718440/|Movie|Moonwalkers|2015||96|6.1|8072|Antoine Bardou-Jacquet|Ron Perlman, Rupert Grint, Robert Sheehan, Stephen Campbell Moore, Eric Lampaert, Kevin Bishop, Tom Audenaert, Erika Sainte|France, Belgium|September 8, 2017|R|Action & Adventure, Comedies, International Movies|A brain-addled war vet, a failing band manager and a Stanley Kubrick impersonator help the CIA construct an epic scam by faking the 1969 moon landing.
13|/title/tt3621360/|Movie|Rolling Papers|2015||79|6.2|429|Mitch Dickman||United States, Uruguay|September 8, 2017|TV-MA|Documentaries|As the newspaper industry takes a hit, The Denver Post breaks new ground with a section dedicated to cannabis culture.
14|/title/tt1772264/|Movie|Stonehearst Asylum|2014||113|6.8|48041|Brad Anderson|Kate Beckinsale, Jim Sturgess, David Thewlis, Brendan Gleeson, Ben Kingsley, Michael Caine, Jason Flemyng, Sophie Kennedy Clark, Sinéad Cusack, Edmund Kingsley|United States|September 8, 2017|PG-13|Horror Movies, Thrillers|In 1899, a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient.
15|/title/tt3687398/|Movie|The Runner|2015||90|4.7|4723|Austin Stark|Nicolas Cage, Sarah Paulson, Connie Nielsen, Wendell Pierce, Bryan Batt, Peter Fonda, Dana Gourrier|United States|September 8, 2017|R|Dramas, Independent Movies|A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.
16|/title/tt3799372/|Movie|6 Years|2015||80|5.6|10589|Hannah Fidell|Taissa Farmiga, Ben Rosenfield, Lindsay Burdge, Joshua Leonard, Jennifer Lafleur, Peter Vack, Dana Wheeler-Nicholson, Jason Newman, Molly McMichael|United States|September 8, 2015|NR|Dramas, Independent Movies, Romantic Movies|As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future.
