show_id|IMDB_id|type|title|release_year|rating|popularity|genres|PG|duration|seasons|director|date_added|country|cast|description
81145628|tt9428190|Movie|Norm of the North: King Sized Adventure|2019|3.3|307|Children & Family Movies, Comedies|TV-PG|90||Richard Finn, Tim Maltby|September 9, 2019|United States, India, South Korea, China|Alan Marriott, Andrew Toth, Brian Dobson, Cole Howard, Jennifer Cameron, Jonathan Holmes, Lee Tockar, Lisa Durupt, Maya Kay, Michael Dobson|Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first.
80117401|tt6999080|Movie|Jandino: Whatever it Takes|2016|4.8|23|Stand-Up Comedy|TV-MA|94|||September 9, 2016|United Kingdom|Jandino Asporaat|"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show."
70234439|tt1659175|TV Show|Transformers Prime|2013|7.9|5406|Kids' TV|TV-Y7-FV||1||September 8, 2018|United States|Peter Cullen, Sumalee Montano, Frank Welker, Jeffrey Combs, Kevin Michael Richardson, Tania Gunadi, Josh Keaton, Steve Blum, Andy Pessoa, Ernie Hudson, Daran Norris, Will Friedle|With the help of three human allies, the Autobots once again protect Earth from the onslaught of the Decepticons and their leader, Megatron.
80058654|tt3604232|TV Show|Transformers: Robots in Disguise|2016|6.0|839|Kids' TV|TV-Y7||1||September 8, 2018|United States|Will Friedle, Darren Criss, Constance Zimmer, Khary Payton, Mitchell Whitfield, Stuart Allan, Ted McGinley, Peter Cullen|When a prison ship crash unleashes hundreds of Decepticons on Earth, Bumblebee leads a new Autobot force to protect humankind.
80125979|tt6119504|Movie|#realityhigh|2017|5.2|5570|Comedies|TV-14|99||Fernando Lebrija|September 8, 2017|United States|Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis|When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity.
80163890|tt4418844|TV Show|Apaches|2016|7.0|227|Crime TV Shows, International TV Shows, Spanish-Language TV Shows|TV-MA||1||September 8, 2017|Spain|Alberto Ammann, Eloy Azorín, Verónica Echegui, Lucía Jiménez, Claudia Traisac|A young journalist is forced into a life of crime to save his father and family in this series based on the novel by Miguel Sáez Carral.
70304989|tt1971325|Movie|Automata|2014|6.1|54262|International Movies, Sci-Fi & Fantasy, Thrillers|R|110||Gabe Ibáñez|September 8, 2017|Bulgaria, United States, Spain, Canada|Antonio Banderas, Dylan McDermott, Melanie Griffith, Birgitte Hjort Sørensen, Robert Forster, Christa Campbell, Tim McInnerny, Andy Nyman, David Ryall|In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy.
80164077|tt8134310|Movie|Fabrizio Copano: Solo pienso en mi|2017|4.7|27|Stand-Up Comedy|TV-MA|60||Rodrigo Toro, Francisco Schultz|September 8, 2017|Chile|Fabrizio Copano|Fabrizio Copano takes audience participation to the next level in this stand-up set while reflecting on sperm banks, family WhatsApp groups and more.
80117902|tt7293754|TV Show|Fire Chasers|2017|6.6|320|Docuseries, Science & Nature TV|TV-MA||1||September 8, 2017|United States||As California's 2016 fire season rages, brave backcountry firefighters race to put out the flames, protect homes and save lives in this docuseries.
70304990|tt1361318|Movie|Good People|2014|5.5|15518|Action & Adventure, Thrillers|R|90||Henrik Ruben Genz|September 8, 2017|United States, United Kingdom, Denmark, Sweden|James Franco, Kate Hudson, Tom Wilkinson, Omar Sy, Sam Spruell, Anna Friel, Thomas Arnold, Oliver Dimsdale, Diana Hardcastle, Michael Jibson, Diarmaid Murtagh|A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.
